date,weekday,wday,month,year,d,event_type_1,event_type_2,snap_CA,snap_TX,snap_WI,FOODS,HOBBIES,HOUSEHOLD,days,Day_name,Week,Month,is_holiday,is_workingday
2011-03-23,Wednesday,5,3,2011,d_54,,,0,0,0,13214.0,2384.0,3632.0,d_54,Wednesday,12,3,0,1
2011-03-24,Thursday,6,3,2011,d_55,,,0,0,0,12959.0,2347.0,3548.0,d_55,Thursday,12,3,0,1
2011-03-25,Friday,7,3,2011,d_56,,,0,0,0,15485.0,3239.0,4626.0,d_56,Friday,12,3,0,1
2011-03-26,Saturday,1,3,2011,d_57,,,0,0,0,19943.0,3524.0,6153.0,d_57,Saturday,12,3,0,0
2011-03-27,Sunday,2,3,2011,d_58,,,0,0,0,20229.0,3537.0,6100.0,d_58,Sunday,12,3,0,0
2011-03-28,Monday,3,3,2011,d_59,,,0,0,0,14704.0,2738.0,4007.0,d_59,Monday,13,3,0,1
2011-03-29,Tuesday,4,3,2011,d_60,,,0,0,0,13389.0,2388.0,3804.0,d_60,Tuesday,13,3,0,1
2011-03-30,Wednesday,5,3,2011,d_61,,,0,0,0,12891.0,2503.0,3534.0,d_61,Wednesday,13,3,0,1
2011-03-31,Thursday,6,3,2011,d_62,,,0,0,0,14675.0,3120.0,3947.0,d_62,Thursday,13,3,0,1
2011-04-01,Friday,7,4,2011,d_63,,,1,1,0,19357.0,3544.0,5408.0,d_63,Friday,13,4,0,1
2011-04-02,Saturday,1,4,2011,d_64,,,1,0,1,22603.0,3996.0,6879.0,d_64,Saturday,13,4,0,0
2011-04-03,Sunday,2,4,2011,d_65,,,1,1,1,23396.0,3504.0,6158.0,d_65,Sunday,13,4,0,0
2011-04-04,Monday,3,4,2011,d_66,,,1,0,0,17511.0,2862.0,4479.0,d_66,Monday,14,4,0,1
2011-04-05,Tuesday,4,4,2011,d_67,,,1,1,1,17253.0,2393.0,3935.0,d_67,Tuesday,14,4,0,1
2011-04-06,Wednesday,5,4,2011,d_68,,,1,1,1,16584.0,2427.0,3645.0,d_68,Wednesday,14,4,0,1
2011-04-07,Thursday,6,4,2011,d_69,,,1,1,0,16448.0,2643.0,3810.0,d_69,Thursday,14,4,0,1
2011-04-08,Friday,7,4,2011,d_70,,,1,0,1,17212.0,3145.0,4397.0,d_70,Friday,14,4,0,1
2011-04-09,Saturday,1,4,2011,d_71,,,1,1,1,22221.0,3501.0,6023.0,d_71,Saturday,14,4,0,0
2011-04-10,Sunday,2,4,2011,d_72,,,1,0,0,22238.0,3364.0,5934.0,d_72,Sunday,14,4,0,0
2011-04-11,Monday,3,4,2011,d_73,,,0,1,1,17589.0,2941.0,4299.0,d_73,Monday,15,4,0,1
2011-04-12,Tuesday,4,4,2011,d_74,,,0,1,1,16825.0,2607.0,3786.0,d_74,Tuesday,15,4,0,1
2011-04-13,Wednesday,5,4,2011,d_75,,,0,1,0,15232.0,2572.0,3807.0,d_75,Wednesday,15,4,0,1
2011-04-14,Thursday,6,4,2011,d_76,,,0,0,1,15324.0,2674.0,3966.0,d_76,Thursday,15,4,0,1
2011-04-15,Friday,7,4,2011,d_77,,,0,1,1,18016.0,2807.0,4659.0,d_77,Friday,15,4,0,1
2011-04-16,Saturday,1,4,2011,d_78,,,0,0,0,19817.0,3371.0,6046.0,d_78,Saturday,15,4,0,0
2011-04-17,Sunday,2,4,2011,d_79,,,0,0,0,20547.0,3026.0,6214.0,d_79,Sunday,15,4,0,0
2011-04-18,Monday,3,4,2011,d_80,,,0,0,0,15127.0,2790.0,4472.0,d_80,Monday,16,4,0,1
2011-04-19,Tuesday,4,4,2011,d_81,,,0,0,0,13454.0,2179.0,3841.0,d_81,Tuesday,16,4,0,1
2011-04-20,Wednesday,5,4,2011,d_82,,,0,0,0,13799.0,2356.0,4033.0,d_82,Wednesday,16,4,0,1
2011-04-21,Thursday,6,4,2011,d_83,,,0,0,0,13741.0,2176.0,3851.0,d_83,Thursday,16,4,0,1
2011-04-22,Friday,7,4,2011,d_84,,,0,0,0,16889.0,2474.0,4916.0,d_84,Friday,16,4,0,1
2011-04-23,Saturday,1,4,2011,d_85,,,0,0,0,20924.0,3058.0,5593.0,d_85,Saturday,16,4,0,0
2011-04-24,Sunday,2,4,2011,d_86,Religious,Cultural,0,0,0,16870.0,2446.0,4702.0,d_86,Sunday,16,4,0,0
2011-04-25,Monday,3,4,2011,d_87,,,0,0,0,12922.0,2865.0,4217.0,d_87,Monday,17,4,0,1
2011-04-26,Tuesday,4,4,2011,d_88,Religious,,0,0,0,11883.0,2517.0,3713.0,d_88,Tuesday,17,4,0,1
2011-04-27,Wednesday,5,4,2011,d_89,,,0,0,0,11616.0,2515.0,3798.0,d_89,Wednesday,17,4,0,1
2011-04-28,Thursday,6,4,2011,d_90,,,0,0,0,11680.0,2500.0,3965.0,d_90,Thursday,17,4,0,1
2011-04-29,Friday,7,4,2011,d_91,,,0,0,0,14714.0,2907.0,5114.0,d_91,Friday,17,4,0,1
2011-04-30,Saturday,1,4,2011,d_92,,,0,0,0,17776.0,4039.0,6286.0,d_92,Saturday,17,4,0,0
2011-05-01,Sunday,2,5,2011,d_93,,,1,1,0,19746.0,3381.0,5918.0,d_93,Sunday,17,5,0,0
2011-05-02,Monday,3,5,2011,d_94,,,1,0,1,15703.0,2590.0,4544.0,d_94,Monday,18,5,0,1
2011-05-03,Tuesday,4,5,2011,d_95,,,1,1,1,16581.0,3002.0,4497.0,d_95,Tuesday,18,5,0,1
2011-05-04,Wednesday,5,5,2011,d_96,,,1,0,0,14160.0,2549.0,4052.0,d_96,Wednesday,18,5,0,1
2011-05-05,Thursday,6,5,2011,d_97,Cultural,,1,1,1,14778.0,2605.0,3801.0,d_97,Thursday,18,5,0,1
2011-05-06,Friday,7,5,2011,d_98,,,1,1,1,17267.0,2828.0,4391.0,d_98,Friday,18,5,0,1
2011-05-07,Saturday,1,5,2011,d_99,,,1,1,0,19679.0,3466.0,5267.0,d_99,Saturday,18,5,0,0
2011-05-08,Sunday,2,5,2011,d_100,Cultural,,1,0,1,16383.0,2880.0,4425.0,d_100,Sunday,18,5,0,0
2011-05-09,Monday,3,5,2011,d_101,,,1,1,1,17988.0,2670.0,4366.0,d_101,Monday,19,5,0,1
2011-05-10,Tuesday,4,5,2011,d_102,,,1,0,0,15767.0,2584.0,3880.0,d_102,Tuesday,19,5,0,1
2011-05-11,Wednesday,5,5,2011,d_103,,,0,1,1,15180.0,2781.0,4204.0,d_103,Wednesday,19,5,0,1
2011-05-12,Thursday,6,5,2011,d_104,,,0,1,1,15559.0,2811.0,4043.0,d_104,Thursday,19,5,0,1
2011-05-13,Friday,7,5,2011,d_105,,,0,1,0,17382.0,3153.0,5113.0,d_105,Friday,19,5,0,1
2011-05-14,Saturday,1,5,2011,d_106,,,0,0,1,19108.0,3580.0,6048.0,d_106,Saturday,19,5,0,0
2011-05-15,Sunday,2,5,2011,d_107,,,0,1,1,21766.0,3466.0,6088.0,d_107,Sunday,19,5,0,0
2011-05-16,Monday,3,5,2011,d_108,,,0,0,0,15034.0,3001.0,4178.0,d_108,Monday,20,5,0,1
2011-05-17,Tuesday,4,5,2011,d_109,,,0,0,0,13313.0,2433.0,3867.0,d_109,Tuesday,20,5,0,1
2011-05-18,Wednesday,5,5,2011,d_110,,,0,0,0,12618.0,2485.0,3667.0,d_110,Wednesday,20,5,0,1
2011-05-19,Thursday,6,5,2011,d_111,,,0,0,0,12732.0,2181.0,3771.0,d_111,Thursday,20,5,0,1
2011-05-20,Friday,7,5,2011,d_112,,,0,0,0,14330.0,2886.0,4433.0,d_112,Friday,20,5,0,1
2011-05-21,Saturday,1,5,2011,d_113,,,0,0,0,17661.0,3604.0,5847.0,d_113,Saturday,20,5,0,0
2011-05-22,Sunday,2,5,2011,d_114,,,0,0,0,17855.0,3105.0,5286.0,d_114,Sunday,20,5,0,0
2011-05-23,Monday,3,5,2011,d_115,,,0,0,0,14392.0,2626.0,3936.0,d_115,Monday,21,5,0,1
2011-05-24,Tuesday,4,5,2011,d_116,,,0,0,0,13175.0,2336.0,3692.0,d_116,Tuesday,21,5,0,1
2011-05-25,Wednesday,5,5,2011,d_117,,,0,0,0,13070.0,2316.0,3672.0,d_117,Wednesday,21,5,0,1
2011-05-26,Thursday,6,5,2011,d_118,,,0,0,0,13744.0,2729.0,4007.0,d_118,Thursday,21,5,0,1
2011-05-27,Friday,7,5,2011,d_119,,,0,0,0,14825.0,3272.0,4384.0,d_119,Friday,21,5,0,1
2011-05-28,Saturday,1,5,2011,d_120,,,0,0,0,17214.0,3214.0,5099.0,d_120,Saturday,21,5,0,0
2011-05-29,Sunday,2,5,2011,d_121,,,0,0,0,16161.0,2532.0,4756.0,d_121,Sunday,21,5,0,0
2011-05-30,Monday,3,5,2011,d_122,National,,0,0,0,15540.0,2159.0,4839.0,d_122,Monday,22,5,1,0
2011-05-31,Tuesday,4,5,2011,d_123,Sporting,,0,0,0,13042.0,2188.0,4325.0,d_123,Tuesday,22,5,0,1
2011-06-01,Wednesday,5,6,2011,d_124,,,1,1,0,15746.0,2478.0,4941.0,d_124,Wednesday,22,6,0,1
2011-06-02,Thursday,6,6,2011,d_125,,,1,0,1,15980.0,2375.0,4326.0,d_125,Thursday,22,6,0,1
2011-06-03,Friday,7,6,2011,d_126,,,1,1,1,18741.0,2974.0,5066.0,d_126,Friday,22,6,0,1
2011-06-04,Saturday,1,6,2011,d_127,,,1,0,0,21155.0,3014.0,6141.0,d_127,Saturday,22,6,0,0
2011-06-05,Sunday,2,6,2011,d_128,,,1,1,1,22466.0,3204.0,5934.0,d_128,Sunday,22,6,0,0
2011-06-06,Monday,3,6,2011,d_129,,,1,1,1,19283.0,2710.0,4692.0,d_129,Monday,23,6,0,1
2011-06-07,Tuesday,4,6,2011,d_130,,,1,1,0,18430.0,2393.0,4266.0,d_130,Tuesday,23,6,0,1
2011-06-08,Wednesday,5,6,2011,d_131,,,1,0,1,17456.0,2845.0,4152.0,d_131,Wednesday,23,6,0,1
2011-06-09,Thursday,6,6,2011,d_132,,,1,1,1,17956.0,2593.0,4233.0,d_132,Thursday,23,6,0,1
2011-06-10,Friday,7,6,2011,d_133,,,1,0,0,17965.0,3471.0,4983.0,d_133,Friday,23,6,0,1
2011-06-11,Saturday,1,6,2011,d_134,,,0,1,1,20553.0,3453.0,5934.0,d_134,Saturday,23,6,0,0
2011-06-12,Sunday,2,6,2011,d_135,Sporting,,0,1,1,22662.0,2616.0,5816.0,d_135,Sunday,23,6,0,0
2011-06-13,Monday,3,6,2011,d_136,,,0,1,0,18447.0,2695.0,4610.0,d_136,Monday,24,6,0,1
2011-06-14,Tuesday,4,6,2011,d_137,,,0,0,1,17047.0,2781.0,4327.0,d_137,Tuesday,24,6,0,1
2011-06-15,Wednesday,5,6,2011,d_138,,,0,1,1,18274.0,2652.0,4332.0,d_138,Wednesday,24,6,0,1
2011-06-16,Thursday,6,6,2011,d_139,,,0,0,0,15713.0,2802.0,4191.0,d_139,Thursday,24,6,0,1
2011-06-17,Friday,7,6,2011,d_140,,,0,0,0,17170.0,2836.0,4706.0,d_140,Friday,24,6,0,1
2011-06-18,Saturday,1,6,2011,d_141,,,0,0,0,19647.0,3545.0,5633.0,d_141,Saturday,24,6,0,0
2011-06-19,Sunday,2,6,2011,d_142,Cultural,,0,0,0,18141.0,2878.0,5087.0,d_142,Sunday,24,6,0,0
2011-06-20,Monday,3,6,2011,d_143,,,0,0,0,16915.0,2703.0,4643.0,d_143,Monday,25,6,0,1
2011-06-21,Tuesday,4,6,2011,d_144,,,0,0,0,15323.0,2298.0,4189.0,d_144,Tuesday,25,6,0,1
2011-06-22,Wednesday,5,6,2011,d_145,,,0,0,0,14630.0,2558.0,4213.0,d_145,Wednesday,25,6,0,1
2011-06-23,Thursday,6,6,2011,d_146,,,0,0,0,15464.0,2822.0,4494.0,d_146,Thursday,25,6,0,1
2011-06-24,Friday,7,6,2011,d_147,,,0,0,0,16530.0,3116.0,4992.0,d_147,Friday,25,6,0,1
2011-06-25,Saturday,1,6,2011,d_148,,,0,0,0,17915.0,3140.0,5427.0,d_148,Saturday,25,6,0,0
2011-06-26,Sunday,2,6,2011,d_149,,,0,0,0,19008.0,3124.0,5536.0,d_149,Sunday,25,6,0,0
2011-06-27,Monday,3,6,2011,d_150,,,0,0,0,15491.0,2837.0,4314.0,d_150,Monday,26,6,0,1
2011-06-28,Tuesday,4,6,2011,d_151,,,0,0,0,13457.0,2515.0,3828.0,d_151,Tuesday,26,6,0,1
2011-06-29,Wednesday,5,6,2011,d_152,,,0,0,0,13565.0,2522.0,3843.0,d_152,Wednesday,26,6,0,1
2011-06-30,Thursday,6,6,2011,d_153,,,0,0,0,14731.0,2570.0,4150.0,d_153,Thursday,26,6,0,1
2011-07-01,Friday,7,7,2011,d_154,,,1,1,0,21397.0,3757.0,5879.0,d_154,Friday,26,7,0,1
2011-07-02,Saturday,1,7,2011,d_155,,,1,0,1,23387.0,3681.0,5933.0,d_155,Saturday,26,7,0,0
2011-07-03,Sunday,2,7,2011,d_156,,,1,1,1,21577.0,2734.0,4862.0,d_156,Sunday,26,7,0,0
2011-07-04,Monday,3,7,2011,d_157,National,,1,0,0,16825.0,2308.0,3900.0,d_157,Monday,27,7,1,0
2011-07-05,Tuesday,4,7,2011,d_158,,,1,1,1,19385.0,2660.0,4551.0,d_158,Tuesday,27,7,0,1
2011-07-06,Wednesday,5,7,2011,d_159,,,1,1,1,18922.0,2939.0,4741.0,d_159,Wednesday,27,7,0,1
2011-07-07,Thursday,6,7,2011,d_160,,,1,1,0,19122.0,2690.0,4915.0,d_160,Thursday,27,7,0,1
2011-07-08,Friday,7,7,2011,d_161,,,1,0,1,19641.0,2787.0,5251.0,d_161,Friday,27,7,0,1
2011-07-09,Saturday,1,7,2011,d_162,,,1,1,1,22573.0,3568.0,6345.0,d_162,Saturday,27,7,0,0
2011-07-10,Sunday,2,7,2011,d_163,,,1,0,0,22079.0,3175.0,6285.0,d_163,Sunday,27,7,0,0
2011-07-11,Monday,3,7,2011,d_164,,,0,1,1,19331.0,2493.0,4768.0,d_164,Monday,28,7,0,1
2011-07-12,Tuesday,4,7,2011,d_165,,,0,1,1,17762.0,2553.0,4317.0,d_165,Tuesday,28,7,0,1
2011-07-13,Wednesday,5,7,2011,d_166,,,0,1,0,16805.0,2528.0,4112.0,d_166,Wednesday,28,7,0,1
2011-07-14,Thursday,6,7,2011,d_167,,,0,0,1,16738.0,2392.0,4317.0,d_167,Thursday,28,7,0,1
2011-07-15,Friday,7,7,2011,d_168,,,0,1,1,19505.0,2913.0,4931.0,d_168,Friday,28,7,0,1
2011-07-16,Saturday,1,7,2011,d_169,,,0,0,0,21333.0,3552.0,5984.0,d_169,Saturday,28,7,0,0
2011-07-17,Sunday,2,7,2011,d_170,,,0,0,0,21346.0,3202.0,5786.0,d_170,Sunday,28,7,0,0
2011-07-18,Monday,3,7,2011,d_171,,,0,0,0,17203.0,2875.0,4561.0,d_171,Monday,29,7,0,1
2011-07-19,Tuesday,4,7,2011,d_172,,,0,0,0,15379.0,2550.0,4002.0,d_172,Tuesday,29,7,0,1
2011-07-20,Wednesday,5,7,2011,d_173,,,0,0,0,15844.0,2512.0,4131.0,d_173,Wednesday,29,7,0,1
2011-07-21,Thursday,6,7,2011,d_174,,,0,0,0,15826.0,2483.0,4469.0,d_174,Thursday,29,7,0,1
2011-07-22,Friday,7,7,2011,d_175,,,0,0,0,18194.0,3077.0,5085.0,d_175,Friday,29,7,0,1
2011-07-23,Saturday,1,7,2011,d_176,,,0,0,0,20353.0,3666.0,6265.0,d_176,Saturday,29,7,0,0
2011-07-24,Sunday,2,7,2011,d_177,,,0,0,0,19889.0,3185.0,5725.0,d_177,Sunday,29,7,0,0
2011-07-25,Monday,3,7,2011,d_178,,,0,0,0,15676.0,2749.0,4470.0,d_178,Monday,30,7,0,1
2011-07-26,Tuesday,4,7,2011,d_179,,,0,0,0,14496.0,2520.0,4179.0,d_179,Tuesday,30,7,0,1
2011-07-27,Wednesday,5,7,2011,d_180,,,0,0,0,14207.0,2330.0,3967.0,d_180,Wednesday,30,7,0,1
2011-07-28,Thursday,6,7,2011,d_181,,,0,0,0,14523.0,2527.0,4193.0,d_181,Thursday,30,7,0,1
2011-07-29,Friday,7,7,2011,d_182,,,0,0,0,16711.0,2700.0,5131.0,d_182,Friday,30,7,0,1
2011-07-30,Saturday,1,7,2011,d_183,,,0,0,0,18794.0,3714.0,6445.0,d_183,Saturday,30,7,0,0
2011-07-31,Sunday,2,7,2011,d_184,,,0,0,0,19672.0,2951.0,6054.0,d_184,Sunday,30,7,0,0
2011-08-01,Monday,3,8,2011,d_185,Religious,,1,1,0,18297.0,2990.0,5320.0,d_185,Monday,31,8,0,1
2011-08-02,Tuesday,4,8,2011,d_186,,,1,0,1,17788.0,2768.0,4919.0,d_186,Tuesday,31,8,0,1
2011-08-03,Wednesday,5,8,2011,d_187,,,1,1,1,19290.0,2978.0,4969.0,d_187,Wednesday,31,8,0,1
2011-08-04,Thursday,6,8,2011,d_188,,,1,0,0,16481.0,2566.0,4666.0,d_188,Thursday,31,8,0,1
2011-08-05,Friday,7,8,2011,d_189,,,1,1,1,18719.0,2684.0,5191.0,d_189,Friday,31,8,0,1
2011-08-06,Saturday,1,8,2011,d_190,,,1,1,1,22291.0,3517.0,6151.0,d_190,Saturday,31,8,0,0
2011-08-07,Sunday,2,8,2011,d_191,,,1,1,0,22867.0,2811.0,6328.0,d_191,Sunday,31,8,0,0
2011-08-08,Monday,3,8,2011,d_192,,,1,0,1,19237.0,2428.0,4689.0,d_192,Monday,32,8,0,1
2011-08-09,Tuesday,4,8,2011,d_193,,,1,1,1,19192.0,2626.0,4395.0,d_193,Tuesday,32,8,0,1
2011-08-10,Wednesday,5,8,2011,d_194,,,1,0,0,17236.0,2784.0,4558.0,d_194,Wednesday,32,8,0,1
2011-08-11,Thursday,6,8,2011,d_195,,,0,1,1,17803.0,2459.0,4446.0,d_195,Thursday,32,8,0,1
2011-08-12,Friday,7,8,2011,d_196,,,0,1,1,20262.0,2958.0,5324.0,d_196,Friday,32,8,0,1
2011-08-13,Saturday,1,8,2011,d_197,,,0,1,0,23357.0,3223.0,6423.0,d_197,Saturday,32,8,0,0
2011-08-14,Sunday,2,8,2011,d_198,,,0,0,1,24373.0,3132.0,6404.0,d_198,Sunday,32,8,0,0
2011-08-15,Monday,3,8,2011,d_199,,,0,1,1,20767.0,2655.0,5089.0,d_199,Monday,33,8,0,1
2011-08-16,Tuesday,4,8,2011,d_200,,,0,0,0,17832.0,2601.0,4833.0,d_200,Tuesday,33,8,0,1
2011-08-17,Wednesday,5,8,2011,d_201,,,0,0,0,16681.0,2397.0,4603.0,d_201,Wednesday,33,8,0,1
2011-08-18,Thursday,6,8,2011,d_202,,,0,0,0,16613.0,2306.0,4457.0,d_202,Thursday,33,8,0,1
2011-08-19,Friday,7,8,2011,d_203,,,0,0,0,18594.0,3007.0,5403.0,d_203,Friday,33,8,0,1
2011-08-20,Saturday,1,8,2011,d_204,,,0,0,0,21992.0,3568.0,6698.0,d_204,Saturday,33,8,0,0
2011-08-21,Sunday,2,8,2011,d_205,,,0,0,0,24065.0,2983.0,6925.0,d_205,Sunday,33,8,0,0
2011-08-22,Monday,3,8,2011,d_206,,,0,0,0,17855.0,2577.0,4892.0,d_206,Monday,34,8,0,1
2011-08-23,Tuesday,4,8,2011,d_207,,,0,0,0,15800.0,2371.0,4446.0,d_207,Tuesday,34,8,0,1
2011-08-24,Wednesday,5,8,2011,d_208,,,0,0,0,15068.0,2690.0,4177.0,d_208,Wednesday,34,8,0,1
2011-08-25,Thursday,6,8,2011,d_209,,,0,0,0,14616.0,2501.0,4297.0,d_209,Thursday,34,8,0,1
2011-08-26,Friday,7,8,2011,d_210,,,0,0,0,16363.0,2943.0,4962.0,d_210,Friday,34,8,0,1
2011-08-27,Saturday,1,8,2011,d_211,,,0,0,0,20449.0,3506.0,6428.0,d_211,Saturday,34,8,0,0
2011-08-28,Sunday,2,8,2011,d_212,,,0,0,0,21993.0,2431.0,6202.0,d_212,Sunday,34,8,0,0
2011-08-29,Monday,3,8,2011,d_213,,,0,0,0,15733.0,1939.0,4413.0,d_213,Monday,35,8,0,1
2011-08-30,Tuesday,4,8,2011,d_214,,,0,0,0,13750.0,2263.0,4337.0,d_214,Tuesday,35,8,0,1
2011-08-31,Wednesday,5,8,2011,d_215,Religious,,0,0,0,14788.0,2316.0,4619.0,d_215,Wednesday,35,8,0,1
2011-09-01,Thursday,6,9,2011,d_216,,,1,1,0,18505.0,2624.0,5170.0,d_216,Thursday,35,9,0,1
2011-09-02,Friday,7,9,2011,d_217,,,1,0,1,20388.0,3092.0,5728.0,d_217,Friday,35,9,0,1
2011-09-03,Saturday,1,9,2011,d_218,,,1,1,1,23937.0,3513.0,6582.0,d_218,Saturday,35,9,0,0
